question,contexts,ground_truth,evolution_type
 二禅的特点是什么，以及它与初禅有何不同？,[�；在坐禅时，进入初禅的时候，身体会有很舒服的感觉，那就是乐。所以进入初禅也称为‘离生喜乐’，意思即是因为出离（欲界）的心生起喜欢与快乐的感觉。\n\n一心：心在定境中保持不动。一心也翻译成‘心一境性’。\n\n（2）、二禅：\n\n当一个人进入初禅后，继续修下去，就会发现觉、观的心念很粗，所谓‘觉’就是对境物的感受；‘观’就是起种种的思想。比如说你感觉到身体上有发生变化，你生起思想，知道它在坐什么，这就是觉、观。这种觉、观就是我们的心念在想东西；这样的想念很粗，他又想把这个粗的心念舍弃，因为它也是一种烦恼。当他把觉、观的心念（寻、伺）舍起后，就会慢慢进入无觉无观（又称为无寻无伺）。这时，他的心静如水，处在清明的状态，内心一片平静，很清净，这叫内静，与初禅的觉身宁静有所不同。\n\n由于二禅是无觉无观，他的内心再也不去思维和判断所接触的境界，不起语言的分别，因此这种定也叫‘圣默然定’。一个人进入二禅之后无眼、耳、身识，唯有意识。二禅有四支，即内静、喜、乐、一心。\n\n内静：内心平静，感觉到内心很清净，再也没有语言的构思了。\n\n喜：离开了觉、观，离开了语言，内心欢喜。],二禅的特点包括无觉无观、内心平静、清净、无眼、耳、身识，唯有意识，以及具有内静、喜、乐、一心四支。与初禅的不同在于，初禅有觉身宁静，而二禅是无觉无观的，内心更加平静和清净，且不再有语言的构思。,simple
为什么说涅槃并不是一种境界？,[解所执著的渣滓皆丢光。如果追求解脱者想‘得到’解脱，那就是错了，因为解脱是‘什么都得不到’，心中无所得才叫做解脱，只要你得到一物，就没办法解脱，因为解脱只是把一切的烦恼放下罢了。证悟涅槃者真正见到不生不灭的诸法真相（涅槃）。我们凡夫在这世间所见到、所知道的一切都在无常的生灭（诸行无常），对不生不灭的诸法真相不知不觉；修行者解脱生死证悟涅槃时，他见到万法原来是不生不灭的，此是诸法的真相。佛经中常说：‘证悟涅槃的圣者看到一切都是不生不灭。’\n\n涅槃到底是怎么一回事？我们经常会误解涅槃是一种境界，很多人以为我现在在生死烦恼的此岸，某某人证悟涅槃就是进入涅槃的境界，事实上涅槃并不是进入一种境界。为什么这么将呢？我们来看因果，有因必有果，如果那个因是无常的，期所形成的果必然也是无常。如果涅槃是一种境界，能进入那种境界，必然能够出，有进、有出，就是有生灭，那么它必然是无常的。所以涅槃并不是一种境界可进、可出；涅槃也不是可以得到一物，更没有证悟到涅槃的人，《金刚经》上说了：‘菩萨应灭度一切众生，灭度一切众生已，实无众生得灭度者。’其义是：实际上并没有众生进入涅槃，没有证悟涅槃的人。因为诸法的],涅槃并不是一种境界，因为如果涅槃是一种境界，能进入那种境界，必然能够出，有进、有出，就是有生灭，那么它必然是无常的。所以涅槃并不是一种境界可进、可出；涅槃也不是可以得到一物，更没有证悟到涅槃的人。,simple
" ""在观察法念处时，如何通过观察受的生起与灭掉来消除贪嗔痴？","[�用心观察，慢慢的就能掌握消除五盖的方法，它就会消除掉，那我们就不会再怀疑佛法，对它深信不疑了。\n\n观察五盖后，接下来是观察五蕴。我们身心的一切活动都包含在五蕴当中。法念处不止指法尘，它还包括一切法。五蕴包含一切有为的生灭法，世间的一切法没有一样不在生灭，所以观察法尘时是要观察它的生灭，从中发现一些事实。\n\n在观法念处时，除了观察五蕴外，还要观察另一些法，那就是六根与六尘。六根与六尘接触后会产生什么后果？我们都要了了分明。比如在静坐时，心念集中在耳朵，我们就去听声音，要觉知这个过程。过一会儿，我们的心念又去观察景物，对于这些心念转移的过程，我们要知道，更要了了分明。我们要注意六根与六尘为我们产生了一种结缚，既是我们的烦恼从六根与六尘中源源不断的生起；十二因缘中说明，如果一个人没有六根，他就没有‘受’，所以我们的‘受’时从六根而来。观察这个受后，接著观察心，再观察受的来源是从六根与六尘接触而来，我们要了了分明这个受的生起。一旦你看到它的生起、再灭掉，那么我们的贪嗔痴很快就会消灭。为什么这么讲呢？打个比喻：以声音来说，有人骂你一句‘他妈的’粗话，你闹起烦恼，骂人、打, �用心观察，慢慢的就能掌握消除五盖的方法，它就会消除掉，那我们就不会再怀疑佛法，对它深信不疑了。\n\n观察五盖后，接下来是观察五蕴。我们身心的一切活动都包含在五蕴当中。法念处不止指法尘，它还包括一切法。五蕴包含一切有为的生灭法，世间的一切法没有一样不在生灭，所以观察法尘时是要观察它的生灭，从中发现一些事实。\n\n在观法念处时，除了观察五蕴外，还要观察另一些法，那就是六根与六尘。六根与六尘接触后会产生什么后果？我们都要了了分明。比如在静坐时，心念集中在耳朵，我们就去听声音，要觉知这个过程。过一会儿，我们的心念又去观察景物，对于这些心念转移的过程，我们要知道，更要了了分明。我们要注意六根与六尘为我们产生了一种结缚，既是我们的烦恼从六根与六尘中源源不断的生起；十二因缘中说明，如果一个人没有六根，他就没有‘受’，所以我们的‘受’时从六根而来。观察这个受后，接著观察心，再观察受的来源是从六根与六尘接触而来，我们要了了分明这个受的生起。一旦你看到它的生起、再灭掉，那么我们的贪嗔痴很快就会消灭。为什么这么讲呢？打个比喻：以声音来说，有人骂你一句‘他妈的’粗话，你闹起烦恼，骂人、打]",在观察法念处时，通过观察受的生起与灭掉，可以消除贪嗔痴。一旦你看到受的生起、再灭掉，那么我们的贪嗔痴很快就会消灭。例如，当有人骂你一句粗话，你可能会闹起烦恼，但通过观察这个受的生起与灭掉，你可以理解这个过程并消除由此产生的贪嗔痴。,simple
“在佛教冥想中，修习‘观心无常’的目的是什么？”,[�、香、味、触、法六尘，称为十八界。我们个别观察它，里面没有一个我，这十八界合起来的一个整体，称为一合相，它也不是我，所以观十八界可以对治我慢。\n\n５、数息观：称为阿那波那，译为持息念（数息）。修数息观对治散乱的心，我们的心如猴子般跳来跳去，所以要把它系在呼出吸入的息气上，慢慢的心就会平静下来。这五种修行方法称为五停心，它可使我们的烦恼：贪、嗔、痴、慢以及不定的心平静。\n\n（2）、四念处：又名四念住，所谓身念住、受念住、心念住及法念住。\n\n四念住是观身不净，观受是苦，观心无常，观法无我。以四念处对治我们的常、乐、我、净四颠倒。\n\n１、身念住－－观身不净：观色身四大不净，乃至外境亦不净，以对治身体干净的颠倒想。\n\n２、受念住－－观受是苦：观六根所生受，及受的苦乐舍，三种皆是行苦，因为它无常变化，不能做主就是苦，所以观受是苦对治乐的颠倒。\n\n３、心念住－－观心无常：观六识心生灭最迅速，无有一念停留，我们的心念一念一念在那儿变化，佛陀说吾人之身还有几十年慢慢地发生变化，可是我们的心念一秒钟却不知道变化多少，所以佛陀教导我们要观心无常。众生执著这个世间有一个精神不变的我－�],佛教冥想中实践“观心无常”的目的在于认识到心念始终处于变化之中，并无恒定不变的状态，从而有助于克服对一个恒久不变自我的错误认知。,simple
" ""为什么皈依后应该亲近善知识？",[缘使得我们认识到自心，那是非常可贵的，所以我们看到佛、法、僧，要生起如获至宝之想。\n\n皈依三宝并不是举行三皈仪式后，盲无目标的礼拜三宝，而我们每天礼佛拜佛，是要在我们的业因缘里面种下一点儿善根；时时怀念三宝的功德，时时提醒自己要修行解脱。我们凡夫整天在烦烦恼恼中，不知道要怎样解脱。如果我们每天都有皈向三宝的心，就会鞭策自己，努力修行，断除烦恼朝向解脱。\n\n我们皈依后，内心要至诚的皈向佛法僧，把自己的身心融化在无边无际的佛法大海中，努力修学，精进不懈。\n\n皈依者的行持：\n\n１、亲近善知识：我们皈依之后，应该亲近善知识。\n\n２、听闻正法：我们亲近善知识，听闻正法，生起正见。\n\n３、依教奉行：我们不止要听闻正法，而且要信受奉行，以僧为榜样，在生活中实践佛陀的教法。如果我们每天这样的皈向，满满地就有机会解脱。我们皈依三宝，应该天天做如是的观想：佛陀是那么的伟大、慈悲，是人间最伟大的导师，我们应该向他学习；佛法的道理是那么清凉，能使我们放下无数的烦恼，逐渐的走向解脱；僧－－放下世缘，出家修行，守道清白，梵行高远，和合无诤，慈悲一切，是佛法的实践者，修行证果，使],皈依后应该亲近善知识，因为亲近善知识可以帮助我们听闻正法，生起正见，并且依教奉行，以僧为榜样，在生活中实践佛陀的教法。这样我们才能有机会解脱。,simple
佛陀时代，化相三宝的僧宝包括哪些成员，他们的修行目的是什么？,[是和合众的意思。奉行佛陀教法的佛陀出家弟子，这些实践佛法的出家弟子都称为僧，他们是比丘、比丘尼、式叉摩那、沙弥、沙弥尼等。然而这里的皈依僧，真正的是指皈依圣贤僧，就是佛陀在世时，僧团中有很多证果的圣人，他们依据佛法修行，结果解脱证果，我们应该学习他们的榜样。看到圣贤僧，我们应该生起信心，努力修行，断除烦恼，于圣者一样解脱生死，证得涅槃。这些僧代表佛陀教法的实行，我们应该尊重皈向。佛、法、僧和称为三宝。\n\n（四）、三宝的种类：\n\n（1）、化相三宝：１、在两千五百多年以前，在印度有一位释迦牟尼佛－－佛宝，降生人间；２、当时跟随佛陀的有无数出家的凡圣弟子－－僧宝；３、佛陀当时向弟子们演说开示的种种教理，如四圣谛、八正道、十二因缘等等－－法宝。这是佛陀住世应化之际的相状，称为化相三宝。\n\n（2）、住持三宝：１、我们现在所看到用玉琢、石刻、金铸、泥塑、木雕、纸绘等的佛像－－佛宝；２、我们所看到的佛陀弟子一脉相传的出家众弟子－－僧宝；３、凡是佛弟子所结集的三藏经典，或古今大德的佛教著述－－法宝，称为住持三宝。有这些住持三宝，才能延续佛法的慧命，保持佛教的精神，传布佛教的教义。�],佛陀时代，化相三宝的僧宝包括无数出家的凡圣弟子，他们的修行目的是依据佛法修行，结果解脱证果，断除烦恼，于圣者一样解脱生死，证得涅槃。,reasoning
如何通过六根与六尘的接触减少贪嗔痴？,"[�用心观察，慢慢的就能掌握消除五盖的方法，它就会消除掉，那我们就不会再怀疑佛法，对它深信不疑了。\n\n观察五盖后，接下来是观察五蕴。我们身心的一切活动都包含在五蕴当中。法念处不止指法尘，它还包括一切法。五蕴包含一切有为的生灭法，世间的一切法没有一样不在生灭，所以观察法尘时是要观察它的生灭，从中发现一些事实。\n\n在观法念处时，除了观察五蕴外，还要观察另一些法，那就是六根与六尘。六根与六尘接触后会产生什么后果？我们都要了了分明。比如在静坐时，心念集中在耳朵，我们就去听声音，要觉知这个过程。过一会儿，我们的心念又去观察景物，对于这些心念转移的过程，我们要知道，更要了了分明。我们要注意六根与六尘为我们产生了一种结缚，既是我们的烦恼从六根与六尘中源源不断的生起；十二因缘中说明，如果一个人没有六根，他就没有‘受’，所以我们的‘受’时从六根而来。观察这个受后，接著观察心，再观察受的来源是从六根与六尘接触而来，我们要了了分明这个受的生起。一旦你看到它的生起、再灭掉，那么我们的贪嗔痴很快就会消灭。为什么这么讲呢？打个比喻：以声音来说，有人骂你一句‘他妈的’粗话，你闹起烦恼，骂人、打, �用心观察，慢慢的就能掌握消除五盖的方法，它就会消除掉，那我们就不会再怀疑佛法，对它深信不疑了。\n\n观察五盖后，接下来是观察五蕴。我们身心的一切活动都包含在五蕴当中。法念处不止指法尘，它还包括一切法。五蕴包含一切有为的生灭法，世间的一切法没有一样不在生灭，所以观察法尘时是要观察它的生灭，从中发现一些事实。\n\n在观法念处时，除了观察五蕴外，还要观察另一些法，那就是六根与六尘。六根与六尘接触后会产生什么后果？我们都要了了分明。比如在静坐时，心念集中在耳朵，我们就去听声音，要觉知这个过程。过一会儿，我们的心念又去观察景物，对于这些心念转移的过程，我们要知道，更要了了分明。我们要注意六根与六尘为我们产生了一种结缚，既是我们的烦恼从六根与六尘中源源不断的生起；十二因缘中说明，如果一个人没有六根，他就没有‘受’，所以我们的‘受’时从六根而来。观察这个受后，接著观察心，再观察受的来源是从六根与六尘接触而来，我们要了了分明这个受的生起。一旦你看到它的生起、再灭掉，那么我们的贪嗔痴很快就会消灭。为什么这么讲呢？打个比喻：以声音来说，有人骂你一句‘他妈的’粗话，你闹起烦恼，骂人、打]",通过观察六根与六尘的接触，了了分明受的生起和灭掉，可以减少贪嗔痴。例如，当有人骂你时，通过观察这种接触和受的生起，可以看到烦恼的源头并逐渐消灭贪嗔痴。,reasoning
在菩萨道修行中，哪些布施与持戒行为能助修行者超越生死轮回，实现解脱，并为何这些行为被称为波罗蜜？,[�闻到正法，了解人生是很苦恼的，同时也使他们懂得解脱的道理，能令他们走上解脱之道，这三种布施能度我们到达生死解脱之彼岸，故称为波罗蜜。\n\n有些人行布施是贪求地位、福报、名誉，这不能度到生死解脱的彼岸，故不能称为波罗蜜。六度波罗蜜是为修学菩萨道的菩萨而讲的。\n\n（二）、持戒：\n\n戒律可分为三种，律仪戒、摄善法戒、饶益有情戒。\n\n（1）、律仪戒：佛陀所制定的各种戒律，称为律仪戒。这些戒律是要防止我们做各种坏事，既是防非止恶的戒法。五戒、十戒、比丘戒、比丘尼戒、菩萨戒等，戒称为律仪戒。受持律仪戒的原因有三：\n\n1、为了防止坠落，确保我们在善道中受生。\n\n2、世间的善人都能奉公守法，遵守法律，何况是一个菩萨行人？所以菩萨行者更应该杜绝各种侵犯众生的恶行。\n\n3、戒律能戒掉我们的烦恼，以它为依止，令我们不做因果上的恶行为，故戒律可以度我们毁犯的恶行为。\n\n（2）、摄善法戒：\n\n菩萨行者发愿行一切善法，如果不这样做，就是他的过失，故应戒除。善法有六度万行，称为菩萨学处。\n\n（3）、饶益有情戒：\n\n发心行菩萨道者，一定要发利益一切众生之心，以一切善法、资财、神通等利益有情。菩萨行者起嗔心后，就不想],在菩萨道修行中，闻到正法、了解人生苦恼、懂得解脱道理的布施，以及持戒中的律仪戒、摄善法戒、饶益有情戒，能助修行者超越生死轮回，实现解脱。这些行为被称为波罗蜜，因为它们能度我们到达生死解脱之彼岸。,multi_context
 在修行过程中，如何通过经行和静坐来达到心念了了分明的状态？,[�先修行者要放下一切事物，住在庙宇中，然后跟随一位有资格的导师学习。每天起来，坐禅与经行。所谓经行是保持一心前后来回走。修行四念处者每天少做事，只是坐禅与经行，为什么要这样呢？那时因为静坐久了容易产生昏沉，同时久坐会生病，所以采取坐、走，坐、走的方式。导师会安排静坐半小时，经行半小时或静坐一小时，经行一小时的功课，有些甚至经行两小时，在经行时观察身体的一举一动，念念要分明；要知道何脚先起，然后踏在地上，甚至于踏到地上的情形，也要知道。开始经行时心念粗，就要用心念左右，左右地训练，慢慢地对身体走路行为很清楚，到心念微细时，就不要念，只要保持知道就好了。\n\n接下来他要知道是脚走了他的心知道，或是他的心叫脚走，他也要发现到：是心叫脚提起，脚踏到地，心才感觉到；他要发觉到这两个过程。走到尽头的时候，谁叫他转弯回来；他站著也要知道，他要对这些心念了了分明。这样经行的结果，他的心会慢慢定下来，观察力会越来越敏锐。他静坐时要观察呼吸，肚子的膨胀与收缩，呼吸的出入等。在静坐的过程中，发生任何事情，他都要知道。\n\n每天晚上导师会个别与修行者对话�],在修行过程中，通过经行和静坐来达到心念了了分明的状态，主要是通过观察身体的一举一动和呼吸的出入。在经行时，修行者要观察脚的动作，知道哪只脚先起，然后踏在地上，甚至在踏到地上的情形也要知道。开始时心念粗，需要用心念左右、左右地训练，慢慢地对身体走路行为很清楚，到心念微细时，只需保持知道即可。在静坐时，要观察呼吸，注意肚子的膨胀与收缩，呼吸的出入等。在静坐的过程中，发生任何事情，都要知道。这样经行的结果，心会慢慢定下来，观察力会越来越敏锐。,simple
 在佛教修行中，对佛、法、僧以及戒律的绝对信心如何影响一个人证悟初果？,[何人都不可毁坏。假如一个人对佛、法、僧以及戒有绝对的信心，一点儿也不怀疑，那他就是断了疑结，意经典说他已经证悟到初果了。\n\n学佛者在修学的过程中，如果对佛、法、僧，以及戒律还会有怀疑，既是说他还没证悟到初果；如果他对佛、法、僧以及戒律绝对没怀疑时，那肯定可以证得初果了。证初果者又称为见道，既是见到解脱之道。他很清楚的确认八正道、四念处、三十七道品等是解脱之道，而且真正体验到此修行方法，才是真正解脱生死之道。我们没证悟初果的学佛者是凭著听闻佛法，分析、了解、推理、相信这些道理，但对于初果圣者来说，是真正的领悟和感觉到。比如有人从听讲中学习到一些游泳的技术，当他有机会跳进水中，就可体验到游泳只不过是如此罢了。虽是如此，然而他的游泳技术未必熟练。同样的，初果圣者虽然是见道，但他还有很多业习，故他需要继续修行。初果圣人由于断三结，绝对不会轮回到恶道去，并且最多天上人间来回七次生死，最后一生必证阿罗汉果。既是说，有些初果圣人的因缘好，烦恼薄，今生就可证悟阿罗汉果，未必一定要修行七世后才证得阿罗汉果。那些至第七次返回人间逢无佛法，居于家中也能证阿罗汉果，证果后必出],在佛教修行中，对佛、法、僧以及戒律的绝对信心可以断除疑结，使一个人证悟到初果。如果学佛者对这些绝对没有怀疑，那他肯定可以证得初果。,simple
