,question,contexts,ground_truth,evolution_type,metadata,episode_done
0," ""为什么菩萨需要修引发静虑以利益众生？",[脱之道，这才称为禅定波罗蜜。\n\n禅定可分为三种：\n\n（1）、安住静虑：\n\n禅定古印度文称为禅那，意思既是静静的思维修行，也既是静虑。安住静虑既是安住禅定。我们有昏沉与掉举的烦恼业习，使我们的心不能敏锐的观察此世间，不容易发觉吾人心念的起落，所以要通过修禅定使他轻安，时时刻刻保持它，不生起昏沉、掉举的烦恼，这样我们才能敏锐的观察世间，不容易被迷惑。\n\n（2）、引发静虑：\n\n既是引发禅定，菩萨要给予众生利益，没有神通力，他所给予的利益是不大的；菩萨必定要认真修四禅八定，在深的禅定中可以引发种种神通，以种种的善巧方便度化、利益众生，故菩萨要修引发静虑。\n\n（3）、办事静虑：\n\n行、住、坐、卧都在定中，称为办事静虑。此种静虑也称为那伽定，既是菩萨在一切时都在定中，有此定力的菩萨则可进入世间做各种利益众生的事业。\n\n这三种静虑，使我们远离昏沉的烦恼，能更敏锐的观察世间，而生起智慧，所以禅定能生起智慧，智慧能使我们解脱，度到生死解脱的彼岸。如有人修禅定只是为了求各种神通，则不能称为禅定波罗蜜。\n\n（六）、智慧：\n\n智慧可分为世间智慧与出世间智慧。\n\n（1）、�],菩萨需要修引发静虑以利益众生，因为菩萨要给予众生利益，没有神通力，他所给予的利益是不大的；菩萨必定要认真修四禅八定，在深的禅定中可以引发种种神通，以种种的善巧方便度化、利益众生，故菩萨要修引发静虑。,simple,[{'source': '/Users/xiyuchen/PycharmProjects/graphrag-microsoft/ragtest/input/book.txt'}],True
1, 如何通过经验的累积形成想蕴？,[�安立种种的名称，既是所谓名相的安立。这个名相是众生主观的安立，而在这名相中执著有一个实有的个体。我们以‘山’来做例子，眼睛看到一堆沙土，就看到‘山’的这个形色，那个颜色的形状多次的出现在眼前、过后，心确定有‘山’的形相存在，认为实在有这样的东西，就开始构画种种相状。接著给此相状的物体名字，称它为‘山’。过后却颠倒过来，不知道‘山’的实体，是因为有这样的形状，我们把它称为‘山’罢了。从此以后，我们一件到这样的形状，就执著生起‘山’的‘想’，这就是所谓的想蕴。所以这个想蕴并不是一次得来，而是累积了多次的经验后得到的。在举一个例子：当一个人出世后，没有看过下雨，母亲把他抱到外面，看到雨水纷纷落下，他根本不知道那是‘雨’，也不知道那是什么回事，看了又看，慢慢的就认定世间有这样东西，会从天上掉下来，后来他从大人那儿学习到那是‘雨水’，结果以后他就执著，认为这个世间真的有‘雨水’，这就是想的作用。\n\n想蕴跟受一样，也是从六根而来。眼睛接触的境所生的这个想，既是颜色的相貌，称为色相；耳朵分别声音的相貌；鼻子分别气味的相貌；舌头分别味道的相貌；身体分别接触的相貌�],通过多次的经验累积，例如看到某种形状多次后，心确定有该形相存在，并开始构画种种相状，然后给此相状的物体命名。随着时间的推移，我们会对这样的形状产生执著，形成特定的‘想’，这就是想蕴的形成过程。,simple,[{'source': '/Users/xiyuchen/PycharmProjects/graphrag-microsoft/ragtest/input/book.txt'}],True
2, 佛陀如何运用智慧来无碍地了解过去世的一切法？,[，常度一切众生，无有休息，是名精进无减。\n\n（9）、念无减：佛陀时时刻刻都在正念中，是名念无减。\n\n（10）、慧无减：佛陀具一切智慧，无时无刻不再观照智慧中，是名慧无减。\n\n（11）、解脱无减：佛陀时时刻刻都处在解脱之中，是名解脱无减。阿罗汉有时还会生起‘苦’的感受。\n\n（12）、解脱知见无减：知道一切修行解脱之方法与道理，是名解脱知见无减。\n\n（13）、一切身业随智慧行：佛陀现三十二种好相，八十随形好，调伏众生，以智慧演说一切诸法，教化众生使其解脱证果，是名一切身业随智慧行。\n\n（14）、一切口业随智慧行：佛陀以微妙清净之语随智而转，化导利益一切众生，是名一切口业随智慧行。\n\n（15）、一切意业随智慧行：佛陀以清净之意业，随智慧说种种法，灭除众生的无名迷惑，是名一切意业随智慧行。佛陀无时无刻都用智慧度化众生；阿罗汉进入灭尽定后就没用智慧度化众生了。\n\n（16）、智慧知过去世无碍：佛陀以智慧照知过去所有一切法，悉能遍知而无碍，是名智慧知过去世无碍。\n\n（17）、智慧知未来世无碍：佛陀以智慧照知未来世所有一切，悉能遍知而无碍，是名智慧知未来世无碍。\n\n（18）、],佛陀以智慧照知过去所有一切法，悉能遍知而无碍，是名智慧知过去世无碍。,simple,[{'source': '/Users/xiyuchen/PycharmProjects/graphrag-microsoft/ragtest/input/book.txt'}],True
3," ""在十二因缘中，无明的定义是什么，以及它如何影响我们的行为和业报？",[��升起，而造成另一个因缘也生起，故佛经中常说：‘此有故彼有，此灭故彼灭。’这句话的意思是：有这样的东西生起，所以另外一样东西也跟著生起；有这样的东西消灭，另外一样东西也跟著消灭。\n\n一、十二因缘三世二重因果：\n\n第一重因果：过去因到现在果。\n\n过去因：无明是过去迷惑。\n\n行是过去造业。\n\n（1）、无明：我们迷惑无知，对善恶因果不明白，于佛、法、僧三宝不明白，也不知不觉，这就称为‘无明’。在十二因缘中的‘无明’是过去世烦恼的总称。\n\n（2）、行：因为无明使我们迷惑，发动心驱使身，口，意造业，此称为‘行’。此造作产生将来的果报，既是我们今世所受的善恶诸业的果报，所以‘行’就是业报，使我们投胎轮回生死。现在果：识、名色、六入、触、受是现在苦果。\n\n（3）、识：众生前生死时，名色（精神与物质）的活动散灭，而转成另一系列的精神活动。好像前世是人，死后转生为乌龟，那做人的精神活动就灭，转变成为乌龟的精神活动。因惑业导致，此‘识’重新入胎。此‘识’与前六识（眼、耳、鼻、舌、身、意）不同，在此处特别指入胎的‘识’。在南传佛教只说为‘识’，但大成佛教的唯识宗说是第八识－－阿赖耶识。我们死后，生前的名色散掉],在十二因缘中，无明是过去世烦恼的总称，指的是我们对善恶因果不明白，对佛、法、僧三宝不明白，也不知不觉。因为无明使我们迷惑，发动心驱使身、口、意造业，此称为‘行’。此造作产生将来的果报，即是我们今世所受的善恶诸业的果报，所以‘行’就是业报，使我们投胎轮回生死。,simple,[{'source': '/Users/xiyuchen/PycharmProjects/graphrag-microsoft/ragtest/input/book.txt'}],True
4," ""为什么有些人会因为妒忌心理而不能忍受他人的成就或优越？",[并以粗暴言行骚扰他人，或疾言厉色的怒骂别人，使他人也苦恼。\n\n（4）、害：恼后就无悲愍及爱心，常以打杀、恐吓等侵损逼害众生。就好像他对我不仁，我就对他不义。\n\n恼与害之差别：有些人‘害’的烦恼少，被人欺负，只会在那而‘恼’罢了，即使他很苦，也不敢害人，这种人就是有良知，有慈悲心者，他没能力反抗，因为不敢害人。反之有一些人，他有害的烦恼，苦恼之后就要去对付别人，这就是由‘恼’转为‘害’；有些人很残酷，路过见到一些猫、狗等小动物，他都无缘无故地踢一脚，这是没有恼，但是有害的心理，没有慈悲心；看到蛇、蟑螂就一定要打死；看见蟑螂讨厌是因为恼、忿、恨，所以打；但是看见青蛙也要打死，那就是害的心。这世间就是有一些没有慈悲心的人，经常损害别人。\n\n（5）、嫉：即妒忌，不能忍受他人之成就、优胜而起嗔心。有些人妒忌别人的名誉、地位、财富等。妒忌别人比自己漂亮；别人的孩子比自己的聪明；别人做事有成就被赞叹，而令你生起妒忌等等。此烦恼是与他人无关，没人惹你，是自己不能忍受别人比你优越，而生起妒忌的心理。\n\n（6）、诳：虚伪的夸大，或是以言行假装有才德，为求名利来欺骗他人。比如有人问一个�],有些人会因为妒忌心理而不能忍受他人的成就或优越，是因为他们不能忍受别人比自己优越，如别人的名誉、地位、财富等，或者别人的孩子比自己的聪明，别人做事有成就被赞叹，而生起妒忌的心理。,simple,[{'source': '/Users/xiyuchen/PycharmProjects/graphrag-microsoft/ragtest/input/book.txt'}],True
5,“十二因缘的概念如何解释业与轮回过程中自我的缺失？”,[�果报；我们总以为有一个‘我’在受果报，这是不对的；那是识、名色、六入，触等种种法在受果报。比如说：有一间亚答屋被火烧，难道是它在受果报吗？不是的。它是亚答屋的叶子，里面的木材等东西，因为加热，就燃烧起来；它燃烧后就灭了，里面没有受果报的亚答屋。由亚答叶、木板等材料组成一间被我们称为‘亚答屋’的东西；同样的，由识、名色、六入、触、受形成一系列活动，我们把它称为‘众生’，实际上没有一个实体的‘众生’在受果报。\n\n（4）、无自作用：十二因缘当中，没有一个因缘可以自己作用，必须依靠其他的因缘。好像我们的六根从胚胎来，胚胎从‘入胎的识’来，识从业报来等等，所以每一个都是靠其他的因缘生起，它不是自己在作用。\n\n（5）、从因生：因为不是自作用，也没有作者在做，故从因生。\n\n（6）、不自在：十二因缘的流转，是令我们不自在的；因缘的相生相灭，不是我们所需所要。甚至于这个爱、取也是因为过去的引发来的，里面并没有一个我要爱、我要取。\n\n（7）、托众缘转：十二因缘中的任何一支都不可以单独产生作用，它要依靠众多因缘引发，才能转来变去，所以说它需要托众缘转。\n\n（8）、无常、苦、无我：十二因缘中的每一�],“十二因缘”的概念阐释了在业与轮回过程中自我缺失的现象，指出并没有一个单一的实体或“自我”去体验业的结果。相反，它是一系列相互关联的现象（识、名色、六入、触、受）共同构成了我们所感知到的“生命”或“存在”。这些现象相互依存，因各种因缘而生起，并非自存或自运作。这种理解驳斥了有一个恒常不变的自我经历轮回并体验业果的观念。,simple,[{'source': '/Users/xiyuchen/PycharmProjects/graphrag-microsoft/ragtest/input/book.txt'}],True
6," ""在佛教中，业与业报是如何影响众生的生死轮回的？",[的我，追求死后的将来，而这样的贪爱，使我们死后将来再继续受生，称为后有爱。\n\n２、贪喜集行爱：当现前的境界出现时，我们因迷惑而执著它，称为贪喜集行爱。\n\n３、彼彼希乐爱：我们知道现前这样快乐的境界，追求将来也要有这样的境界，称为彼彼希乐爱。比如今生夫妻生活适意、恩爱，希望将来死后夫妻再结来生缘。\n\n因为这种种的爱，使到我们死后再来生死轮回。由这个贪爱的烦恼使我们产生常、乐、我、净四个颠倒。在这个贪爱之中有一个‘自体爱’，称为我执。众生对这个我执深执不舍，便无时无刻都在求生求存，求再生，求永恒的生存。因为这个贪生的欲望，使得过去、现在所造的诸业得到滋润，继续向前推动。业是过去的因，贪爱这个烦恼是现在的缘，因缘和合，我们就生生不已，一生有一生。\n\n（二）、业：我们过去及现在世所造的种种业行，它也是属于集。因为业行能集无量种众生业道于内身。\n\n（1）、业的意义：业为造作义，既是有意造作之行为称为业。业所造成之效应（果报）称为业报。此中造作之心有善、恶、无记三种，形成善、恶、无记三种业报。\n\n（2）、业的推动者：求生、求存、求再生之‘有爱’滋长意志造业，是生命能继续延续及向前迈进。（请参�],在佛教中，业与业报通过因缘和合的方式影响众生的生死轮回。业是过去的因，贪爱这个烦恼是现在的缘，因缘和合，我们就生生不已，一生有一生。业的意义是有意造作之行为，其效应（果报）称为业报。求生、求存、求再生之‘有爱’滋长意志造业，是生命能继续延续及向前迈进。,simple,[{'source': '/Users/xiyuchen/PycharmProjects/graphrag-microsoft/ragtest/input/book.txt'}],True
7," ""在佛教修行中，阿罗汉是如何断除掉悔的？",[�了一些烦恼，但还必须继续修学圣道，故称为有学圣人。\n\n（四）、四果：\n\n梵文称为阿罗汉果。阿罗汉译义有三：一者、杀贼；二者、应供；三者、无生。意思是阿罗汉杀尽了一切烦恼贼，不再有生死业之生起，是应当受人天供养的圣者。由于已断烦恼和证得涅槃果，在修道上已无可修学，故阿罗汉称为无学圣人。此圣者断除的烦恼有：\n\n（1）、色界取：色界的贪。\n\n（2）、无色界取：无色界的贪。\n\n我们凡夫有欲界、色界、无色界的贪，称为三有的贪。三果圣者断除欲界的贪，初果与二果的圣者都还没断除它；阿罗汉却完全断除了这三界的贪。\n\n（3）、我慢：阿罗汉断除了我慢，既是我们凡夫在心、境对立时，会认为外面所知的是境，能够知道的是我，这跟身心无关，这是一种知觉上面的执著，这个‘我’称为我慢。\n\n（4）、掉悔：阿罗汉断除了不安－－掉悔。学佛者在修行过程当中，每当他进入某个境界时，要把那个境界舍掉，才可以进入另外更高的境界。比如修禅定，进入初禅者，要舍掉初禅的境界后，继续修行，才可进入二禅。如果不放弃，他就会执著初禅的境界。在修行的过程中，当他放弃初禅，要进入二禅时，心退回初禅去的],阿罗汉断除了不安－－掉悔。学佛者在修行过程当中，每当他进入某个境界时，要把那个境界舍掉，才可以进入另外更高的境界。比如修禅定，进入初禅者，要舍掉初禅的境界后，继续修行，才可进入二禅。如果不放弃，他就会执著初禅的境界。在修行的过程中，当他放弃初禅，要进入二禅时，心退回初禅去的,simple,[{'source': '/Users/xiyuchen/PycharmProjects/graphrag-microsoft/ragtest/input/book.txt'}],True
8, 佛陀在什么方面表现出“无不知己舍”的特质？,[河神道歉说：‘小婢，对不起。’原来这位阿罗汉前五百世都是婆罗门出身，因为种姓高贵，故有傲慢的业习。虽然今世证悟了阿罗汉果，他没有此烦恼，但业习尚存，这不妨碍他证悟，但口业还有过失。\n\n（4）、无异想：佛陀对众生一视同仁，没有所谓的这个好，那个不好，平等普度，心无简择，是名无异想。阿罗汉还有分别，佛经上有记载：佛陀的弟子须菩提尊者认为：穷苦的人家，生活难以维持，没有多余的饮食供养出家人，所以尊者专门乞富不乞贫，以免增加贫穷人家的负担；反观大迦叶尊者却认为：出家的沙门，守道行法，是人间的福田，受人间的供养，是给他们增长福慧的机会，故尊者专门向贫穷人家化缘，免除他们将来贫困。须菩提与大迦叶尊者有分别众生的因缘而度生，生起不平等之心。\n\n（5）、无不定心：佛陀没有出定或入定，行、往、坐、卧常在甚深的禅定中，是名无不定心。阿罗汉就有出定或是入定，他们入灭尽定或出灭尽定。\n\n（6）、无不知己舍：佛陀念念知道自己对一切法已经没有执著，是名无不知己舍。\n\n（7）、欲无减：佛陀具众善，常欲度诸众生，心无厌足，是名欲无减。\n\n（8）、精进无减：佛陀之身心，精进满足],佛陀念念知道自己对一切法已经没有执著，是名无不知己舍。,simple,[{'source': '/Users/xiyuchen/PycharmProjects/graphrag-microsoft/ragtest/input/book.txt'}],True
9," ""在佛教中，十二因缘的顺观和逆观分别是什么？",[�怎样出胎？出胎后几岁有触，几岁有爱、取等等，这是一些论师如此诠释，不是佛陀阐述的。好像《俱舍论》，就是以年龄的划分来讲解十二因缘，这是不正确的。佛陀讲十二因缘时，不说三世两重因果，也没有说惑、业、苦，只是直接了当的说十二因缘，后来的论师加以分析，说它有惑、业、苦以及三世两重的因果，此虽非佛说，但是这是正确的。\n\n九、十二因缘给我们的启示：\n\n（一）、十二因缘流转的顺、逆观：从‘老死’追寻到‘无明’，称为逆观；从‘无明’追寻到‘老死’，称为顺观。此顺、逆观又可分为流转门的顺、逆观与还灭门的顺、逆观。十二因缘流转门的顺、逆观就是看它生（流转）的原因，所生的果报；还灭门的顺、逆观就是看它灭（还灭）的原因，所灭的果报。顺观就是‘无明’灭‘行’就灭，‘行’灭‘识’就灭，‘识’灭‘名色’就灭，……。逆观是：如果要‘老死’灭则要灭掉‘生’，要灭‘生’就要灭‘有’，要灭‘有’就要灭‘取’，……。这就是还灭门的顺、逆观。\n\n（二）、佛所说的十二因缘中的十二支缘生法，其共同性质是无常、无我、没有作者、没有受者。佛陀还告诉我们生死流转真正因果之所在，不明白十二因缘者，就会误会这世间与人类都],在佛教中，十二因缘的顺观是从‘无明’追寻到‘老死’，称为顺观；逆观是从‘老死’追寻到‘无明’，称为逆观。顺观和逆观又可分为流转门的顺、逆观与还灭门的顺、逆观。,simple,[{'source': '/Users/xiyuchen/PycharmProjects/graphrag-microsoft/ragtest/input/book.txt'}],True
